timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-12 14:54:27,802,70,64,0,-5.0,-0.6
2021-04-12 14:54:27,819,70,64,0,-27.9375,-34.74
2021-04-12 14:54:27,836,70,64,0,-27.9375,-1.56
2021-04-12 14:54:27,851,70,64,0,-27.9375,-1.56
2021-04-12 14:54:27,870,70,64,0,-27.9375,-1.6800000000000002
2021-04-12 14:54:27,889,70,64,0,-27.9375,-1.62
2021-04-12 14:54:27,914,70,64,0,-27.9375,-2.2800000000000002
2021-04-12 14:54:27,930,70,64,0,-27.9375,-1.56
2021-04-12 14:54:27,948,70,64,0,-27.9375,-1.62
2021-04-12 14:54:27,964,70,64,0,-27.9375,-1.56
2021-04-12 14:54:27,980,70,64,0,-27.9375,-1.62
2021-04-12 14:54:27,998,70,64,0,-27.9375,-1.6800000000000002
2021-04-12 14:54:28,015,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,031,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,046,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,063,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,080,70,64,0,-27.9375,-1.62
2021-04-12 14:54:28,096,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,112,70,64,0,-27.9375,-1.62
2021-04-12 14:54:28,129,70,64,0,-27.9375,-1.62
2021-04-12 14:54:28,146,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,161,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,178,70,64,0,-27.9375,-1.62
2021-04-12 14:54:28,199,70,64,0,-27.9375,-1.8599999999999999
2021-04-12 14:54:28,216,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,232,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,249,70,64,0,-27.9375,-1.6800000000000002
2021-04-12 14:54:28,270,70,64,0,-27.9375,-1.92
2021-04-12 14:54:28,287,70,64,0,-27.9375,-1.62
2021-04-12 14:54:28,304,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,319,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,336,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,352,70,64,0,-27.9375,-1.62
2021-04-12 14:54:28,370,70,64,0,-27.9375,-1.6800000000000002
2021-04-12 14:54:28,392,70,64,0,-27.9375,-1.8599999999999999
2021-04-12 14:54:28,410,70,64,0,-27.9375,-1.7400000000000002
2021-04-12 14:54:28,429,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,461,70,64,0,-27.9375,-2.46
2021-04-12 14:54:28,487,70,64,0,-27.9375,-2.34
2021-04-12 14:54:28,503,70,64,0,-27.9375,-1.56
2021-04-12 14:54:28,520,70,64,0,-27.9375,-1.62
2021-04-12 14:54:28,538,70,64,0,-27.9375,-1.6800000000000002
2021-04-12 14:54:28,555,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,571,70,56,0,-27.9375,-2.42
2021-04-12 14:54:28,588,70,56,0,-27.9375,-2.42
2021-04-12 14:54:28,604,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,621,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,637,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,656,70,56,0,-27.9375,-2.54
2021-04-12 14:54:28,671,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,687,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,704,70,56,0,-27.9375,-2.42
2021-04-12 14:54:28,720,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,737,70,56,0,-27.9375,-2.42
2021-04-12 14:54:28,753,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,776,70,56,0,-27.9375,-2.7199999999999998
2021-04-12 14:54:28,792,70,56,0,-27.9375,-2.42
2021-04-12 14:54:28,809,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,824,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,841,70,56,0,-27.9375,-2.36
2021-04-12 14:54:28,857,70,56,0,-27.9375,-2.42
2021-04-12 14:54:28,874,70,56,0,-27.9375,-2.42
2021-04-12 14:54:28,892,70,56,0,-27.9375,-2.42
