timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-11 17:42:10,986,30,26,0,-5.0,-0.4
2021-04-11 17:42:11,017,30,43,0,-27.9375,-30.319999999999997
2021-04-11 17:42:11,033,30,43,0,-27.8899,0.28
2021-04-11 17:42:11,050,30,43,0,-27.8423,0.28
2021-04-11 17:42:11,066,30,43,0,-27.7879,0.3400000000000001
2021-04-11 17:42:11,083,30,43,0,-27.7483,0.21999999999999997
2021-04-11 17:42:11,101,30,43,0,-27.6939,0.3400000000000001
2021-04-11 17:42:11,116,30,43,0,-27.639499999999998,0.3400000000000001
2021-04-11 17:42:11,133,30,43,0,-27.5919,0.28
2021-04-11 17:42:11,149,30,43,0,-27.537499999999998,0.3400000000000001
2021-04-11 17:42:11,165,30,43,0,-27.483099999999997,0.3400000000000001
2021-04-11 17:42:11,182,30,43,0,-27.428699999999996,0.3400000000000001
2021-04-11 17:42:11,197,30,43,0,-27.374299999999995,0.3400000000000001
2021-04-11 17:42:11,213,30,43,0,-27.319899999999993,0.3400000000000001
2021-04-11 17:42:11,229,30,43,0,-27.265499999999992,0.3400000000000001
2021-04-11 17:42:11,245,30,43,0,-27.21109999999999,0.3400000000000001
2021-04-11 17:42:11,261,30,43,0,-27.15669999999999,0.3400000000000001
2021-04-11 17:42:11,277,30,43,0,-27.10229999999999,0.3400000000000001
2021-04-11 17:42:11,293,30,43,0,-27.047899999999988,0.3400000000000001
2021-04-11 17:42:11,310,30,43,0,-27.00029999999999,0.28
2021-04-11 17:42:11,327,30,43,0,-26.945899999999988,0.3400000000000001
2021-04-11 17:42:11,343,30,43,0,-26.891499999999986,0.3400000000000001
2021-04-11 17:42:11,358,30,43,0,-26.837099999999985,0.3400000000000001
2021-04-11 17:42:11,374,30,43,0,-26.782699999999984,0.3400000000000001
2021-04-11 17:42:11,391,30,43,0,-26.728299999999983,0.3400000000000001
2021-04-11 17:42:11,407,30,43,0,-26.680699999999984,0.28
2021-04-11 17:42:11,423,30,43,0,-26.626299999999983,0.3400000000000001
2021-04-11 17:42:11,439,30,43,0,-26.57189999999998,0.3400000000000001
2021-04-11 17:42:11,455,30,43,0,-26.51749999999998,0.3400000000000001
2021-04-11 17:42:11,472,30,43,0,-26.46309999999998,0.3400000000000001
2021-04-11 17:42:11,487,30,43,0,-26.40869999999998,0.3400000000000001
2021-04-11 17:42:11,503,30,43,0,-26.354299999999977,0.3400000000000001
2021-04-11 17:42:11,518,30,43,0,-26.299899999999976,0.3400000000000001
2021-04-11 17:42:11,536,30,43,0,-26.245499999999975,0.3400000000000001
2021-04-11 17:42:11,550,30,43,0,-26.191099999999974,0.3400000000000001
2021-04-11 17:42:11,568,30,43,0,-26.136699999999973,0.3400000000000001
2021-04-11 17:42:11,583,30,43,0,-26.08229999999997,0.3400000000000001
2021-04-11 17:42:11,605,30,43,0,-26.086699999999972,-0.020000000000000018
2021-04-11 17:42:11,626,30,43,0,-26.07829999999997,0.040000000000000036
2021-04-11 17:42:11,644,30,43,0,-26.03869999999997,0.21999999999999997
2021-04-11 17:42:11,660,30,43,0,-25.98429999999997,0.3400000000000001
2021-04-11 17:42:11,676,30,43,0,-25.929899999999968,0.3400000000000001
2021-04-11 17:42:11,693,30,43,0,-25.875499999999967,0.3400000000000001
2021-04-11 17:42:11,708,30,43,0,-25.821099999999966,0.3400000000000001
2021-04-11 17:42:11,725,30,43,0,-25.766699999999965,0.3400000000000001
2021-04-11 17:42:11,740,30,43,0,-25.712299999999964,0.3400000000000001
2021-04-11 17:42:11,757,30,43,0,-25.657899999999962,0.3400000000000001
2021-04-11 17:42:11,773,30,43,0,-25.60349999999996,0.3400000000000001
2021-04-11 17:42:11,788,30,43,0,-25.54909999999996,0.3400000000000001
